Query_nr,doc_nr
342285,53862
342285,96067
342285,262956
342285,173228
342285,226247
342285,290322
342285,429524
342285,276029
372586,200054
372586,198978
372586,299302
372586,254105
372586,7677
372586,399129
372586,349485
372586,207635
372586,100705
372586,305013
89786,391739
89786,104524
89786,189082
89786,95787
89786,259555
89786,226574
89786,200066
89786,41015
89786,447385
89786,450707
118448,8051
118448,337658
118448,55810
118448,272792
118448,372891
118448,171345
118448,87059
118448,264951
118448,151811
118448,420031
92542,471092
92542,272542
92542,258556
92542,359649
92542,138322
92542,91497
92542,180841
92542,448963
92542,206195
92542,413633
206117,17282
206117,380610
206117,85895
206117,78904
206117,460861
206117,118325
206117,47813
206117,386530
206117,2272
206117,141940
141472,266847
141472,464688
141472,412505
141472,332240
141472,2551
141472,267592
141472,75015
141472,372842
141472,425054
141472,416699
196232,25992
196232,112543
196232,56788
196232,86871
196232,460633
196232,427214
196232,489705
196232,242324
196232,113037
196232,496162
352818,70842
352818,374366
352818,344523
352818,380682
352818,173978
352818,12708
352818,306965
352818,321273
352818,288523
352818,392579
208145,381730
208145,273379
208145,221409
208145,119655
208145,48401
208145,164759
208145,361333
208145,266092
208145,95884
208145,70222
79891,214001
79891,411511
79891,394547
79891,127467
79891,282426
79891,36443
79891,433287
79891,42997
79891,179255
79891,3311
208494,26661
208494,290214
208494,212397
208494,13223
208494,181531
208494,195581
208494,369458
208494,17295
208494,56105
208494,151939
319564,23699
319564,27185
319564,160724
319564,77011
319564,399955
319564,427819
319564,205052
319564,48379
319564,488627
319564,433646
155234,320321
155234,344296
155234,363184
155234,282785
155234,136072
155234,262369
155234,38835
155234,33168
155234,254685
155234,411315
14151,131013
14151,428675
14151,344615
14151,131844
14151,80082
14151,162881
14151,173172
14151,387759
14151,403430
14151,32132
67802,42861
67802,259026
67802,146825
67802,494530
67802,170424
67802,472982
67802,344525
67802,230999
67802,224330
67802,462153
1090184,246242
1090184,305922
1090184,386484
1090184,262063
1090184,12726
1090184,422928
1090184,117282
1090184,320332
1090184,466652
1090184,268063
323382,154418
323382,455907
323382,397694
323382,408998
323382,287871
323382,283678
323382,260210
323382,52023
323382,36761
323382,36128
323998,279594
323998,469142
323998,264540
323998,380682
323998,40135
323998,62931
323998,60634
323998,388093
323998,422632
323998,48065
289812,442905
289812,35201
289812,459077
289812,288332
289812,477101
289812,237403
289812,129649
289812,384605
289812,12966
289812,85117
333486,498045
333486,450589
333486,421399
333486,314543
333486,210920
333486,59563
333486,454459
333486,214725
333486,260759
333486,94086
1090171,478788
1090171,33632
1090171,294570
1090171,9985
1090171,368686
1090171,75759
1090171,487005
1090171,339326
1090171,180646
1090171,442492
73257,437940
73257,25515
73257,81796
73257,122721
73257,115560
73257,427798
73257,244344
73257,362181
73257,21484
73257,95927
1090170,426595
1090170,359385
1090170,179342
1090170,30732
1090170,143992
1090170,192420
1090170,85590
1090170,411560
1090170,63589
1090170,214739
127876,120478
127876,37020
127876,246640
127876,368827
127876,381622
127876,32598
127876,361980
127876,85190
127876,210668
127876,225393
1090165,85146
1090165,288939
1090165,444610
1090165,370593
1090165,147043
1090165,454823
1090165,307991
1090165,175906
1090165,388993
1090165,72512
259417,62625
259417,29527
259417,446155
259417,192143
259417,47663
259417,357279
259417,180655
259417,266040
259417,458209
259417,184130
1101271,56554
1101271,174556
1101271,363257
1101271,482220
1101271,291475
1101271,278980
1101271,16151
1101271,92698
1101271,161271
1101271,439413
205107,383591
205107,253959
205107,358662
205107,470299
205107,26646
205107,35351
205107,98823
205107,11828
205107,248005
205107,276870
307118,314592
307118,22189
307118,218741
307118,406921
307118,406171
307118,98772
307118,261615
307118,395879
307118,366150
307118,91109
335710,12012
335710,280258
335710,251609
335710,55244
335710,477262
335710,255790
335710,26231
335710,89218
335710,89242
335710,226570
127984,29238
127984,124018
127984,467399
127984,312344
127984,208049
127984,350050
127984,225301
127984,453611
127984,128816
127984,99266
1090151,425607
1090151,134711
1090151,180375
1090151,76108
1090151,319954
1090151,123890
1090151,344819
1090151,250421
1090151,250625
1090151,7731
1090146,187694
1090146,278596
1090146,28894
1090146,245571
1090146,443349
1090146,253361
1090146,308206
1090146,339023
1090146,41290
1090146,52279
1090132,284870
1090132,354463
1090132,199624
1090132,258976
1090132,256771
1090132,188284
1090132,417197
1090132,282051
1090132,113900
1090132,442774
1090115,469989
1090115,337161
1090115,416407
1090115,127265
1090115,412590
1090115,250625
1090115,26913
1090115,473689
1090115,108575
1090115,451317
1090110,369279
1090110,82811
1090110,423911
1090110,317112
1090110,174528
1090110,139425
1090110,161047
1090110,216271
1090110,387415
1090110,96756
1090107,458947
1090107,14684
1090107,239851
1090107,407453
1090107,285528
1090107,90490
1090107,229513
1090107,338154
1090107,114400
1090107,295375
1090086,110230
1090086,267792
1090086,119007
1090086,382130
1090086,269042
1090086,337908
1090086,438770
1090086,283829
1090086,172673
1090086,287814
1090077,91499
1090077,20296
1090077,386494
1090077,399512
1090077,239415
1090077,266386
1090077,459686
1090077,440348
1090077,146842
1090077,454578
1090072,472834
1090072,242012
1090072,257496
1090072,161561
1090072,146131
1090072,269916
1090072,327564
1090072,34512
1090072,281653
1090072,139208
1090054,275736
1090054,82448
1090054,295347
1090054,388654
1090054,436861
1090054,412926
1090054,359341
1090054,6081
1090054,245625
1090054,326904
1101259,197342
1101259,415751
1101259,444082
1101259,14067
1101259,132324
1101259,64102
1101259,188056
1101259,284950
1101259,430268
1101259,46500
1089983,476067
1089983,291617
1089983,479822
1089983,160329
1089983,16466
1089983,69895
1089983,406257
1089983,163345
1089983,407671
1089983,114560
1089966,461484
1089966,64762
1089966,445994
1089966,246159
1089966,454583
1089966,307769
1089966,367777
1089966,437441
1089966,450629
1089966,245366
1089964,405315
1089964,308175
1089964,26166
1089964,252051
1089964,391742
1089964,54791
1089964,328598
1089964,297940
1089964,395165
1089964,10092
1089940,291801
1089940,250911
1089940,264606
1089940,488158
1089940,400866
1089940,175137
1089940,355788
1089940,368388
1089940,382336
1089940,258414
1089925,138609
1089925,218220
1089925,209890
1089925,251153
1089925,216659
1089925,35092
1089925,317801
1089925,217125
1089925,66893
1089925,236766
1089896,486355
1089896,208082
1089896,108856
1089896,353944
1089896,117057
1089896,146326
1089896,475589
1089896,228479
1089896,483947
1089896,269758
1101236,462141
1101236,61151
1101236,291255
1101236,496803
1101236,236427
1101236,228980
1101236,243234
1101236,418027
1101236,142454
1101236,235050
1089868,494117
1089868,439590
1089868,272542
1089868,103021
1089868,23678
1089868,52229
1089868,449791
1089868,137055
1089868,143774
1089868,489062
1089846,179562
1089846,374129
1089846,32555
1089846,399868
1089846,145399
1089846,264827
1089846,46491
1089846,369035
1089846,7377
1089846,245023
1089832,164367
1089832,25197
1089832,180860
1089832,26751
1089832,360273
1089832,192613
1089832,49101
1089832,127742
1089832,130652
1089832,52828
1089810,333702
1089810,305412
1089810,282593
1089810,16866
1089810,366969
1089810,260925
1089810,97289
1089810,155379
1089810,260418
1089810,388201
1101228,412438
1101228,11440
1101228,47011
1101228,380781
1101228,274027
1101228,276065
1101228,65220
1101228,312811
1101228,469256
1101228,214379
1089804,196480
1089804,130827
1089804,389243
1089804,285614
1089804,251315
1089804,295842
1089804,267857
1089804,346373
1089804,171617
1089804,72495
1089787,403617
1089787,176588
1089787,498491
1089787,275283
1089787,437263
1089787,111420
1089787,125632
1089787,81965
1089787,403141
1089787,407766
1089776,193434
1089776,442901
1089776,487568
1089776,210817
1089776,64764
1089776,246213
1089776,219575
1089776,139371
1089776,485562
1089776,13422
1089763,249144
1089763,474029
1089763,323642
1089763,31934
1089763,488179
1089763,16912
1089763,441079
1089763,229212
1089763,257572
1089763,301319
1089760,183689
1089760,63688
1089760,374976
1089760,67282
1089760,242852
1089760,139867
1089760,391418
1089760,66182
1089760,7516
1089760,185389
1089719,397532
1089719,96684
1089719,384995
1089719,416013
1089719,394586
1089719,259060
1089719,148845
1089719,23606
1089719,394521
1089719,12695
1089706,91935
1089706,118606
1089706,469029
1089706,298088
1089706,310855
1089706,365822
1089706,98816
1089706,421356
1089706,362535
1089706,333792
1089693,470238
1089693,313120
1089693,310037
1089693,21460
1089693,113832
1089693,235974
1089693,469353
1089693,425740
1089693,221885
1089693,95725
1089691,487776
1089691,50738
1089691,446051
1089691,167199
1089691,121200
1089691,140250
1089691,332803
1089691,378643
1089691,272367
1089691,213271
1089688,113990
1089688,83880
1089688,333481
1089688,89770
1089688,167036
1089688,353229
1089688,51755
1089688,299657
1089688,477699
1089688,476035
1089683,324519
1089683,7774
1089683,441129
1089683,447100
1089683,289370
1089683,347629
1089683,181330
1089683,318446
1089683,251401
1089683,447111
1089674,209436
1089674,491329
1089674,275789
1089674,11047
1089674,294087
1089674,26259
1089674,121328
1089674,192637
1089674,258825
1089674,104751
1101214,465720
1101214,471400
1101214,470893
1101214,227612
1101214,400887
1101214,489096
1101214,166902
1101214,32677
1101214,199777
1101214,464419
1089645,212813
1089645,202434
1089645,485840
1089645,150704
1089645,200134
1089645,146003
1089645,296429
1089645,122406
1089645,113381
1089645,103936
1101211,230957
1101211,348487
1101211,276259
1101211,230375
1101211,243571
1101211,321004
1101211,133124
1101211,259490
1101211,142178
1101211,54782
1089619,449835
1089619,38130
1089619,303274
1089619,267074
1089619,462049
1089619,227238
1089619,152362
1089619,356161
1089619,233312
1089619,116703
1089597,322855
1089597,87329
1089597,350656
1089597,456609
1089597,116288
1089597,340482
1089597,454272
1089597,211203
1089597,133340
1089597,413493
1089576,137774
1089576,216008
1089576,332943
1089576,418314
1089576,10568
1089576,123542
1089576,425624
1089576,50946
1089576,247179
1089576,342456
1089560,107061
1089560,206339
1089560,211560
1089560,205704
1089560,478221
1089560,285847
1089560,304895
1089560,413929
1089560,435114
1089560,183904
1089541,279679
1089541,77852
1089541,365316
1089541,440621
1089541,108448
1089541,169572
1089541,53154
1089541,7235
1089541,170604
1089541,344394
1089511,456002
1089511,118899
1089511,97319
1089511,51955
1089511,336367
1089511,260710
1089511,483229
1089511,6347
1089511,18826
1089511,336344
1089501,42957
1089501,276553
1089501,339959
1089501,406423
1089501,80134
1089501,344604
1089501,410665
1089501,355723
1089501,486987
1089501,232832
1089469,162725
1089469,396364
1089469,479322
1089469,421948
1089469,106495
1089469,35243
1089469,242185
1089469,353475
1089469,244231
1089469,93372
1089443,204611
1089443,212051
1089443,222565
1089443,38834
1089443,294742
1089443,127858
1089443,432109
1089443,207437
1089443,106094
1089443,223767
1089438,267865
1089438,402880
1089438,44323
1089438,300746
1089438,182875
1089438,58392
1089438,184827
1089438,293162
1089438,236284
1089438,488042
1089434,87903
1089434,255437
1089434,342757
1089434,141929
1089434,496580
1089434,426185
1089434,272212
1089434,341446
1089434,337831
1089434,451865
1089414,456717
1089414,8511
1089414,312791
1089414,173123
1089414,299369
1089414,84811
1089414,200940
1089414,241672
1089414,214065
1089414,232257
1089408,374700
1089408,352969
1089408,65264
1089408,343880
1089408,483906
1089408,260523
1089408,165247
1089408,218342
1089408,215398
1089408,365089
1089401,485558
1089401,406992
1089401,433217
1089401,225720
1089401,339166
1089401,187085
1089401,48582
1089401,166143
1089401,39903
1089401,116741
1089355,246213
1089355,64764
1089355,485562
1089355,318227
1089355,219575
1089355,431478
1089355,13422
1089355,109569
1089355,139371
1089355,12647
1089325,177227
1089325,149268
1089325,340963
1089325,424229
1089325,289101
1089325,398276
1089325,357864
1089325,455513
1089325,392065
1089325,26077
1089312,499043
1089312,78302
1089312,458507
1089312,280507
1089312,265882
1089312,194836
1089312,72478
1089312,77323
1089312,328306
1089312,406627
1089293,334524
1089293,467307
1089293,422340
1089293,431317
1089293,391340
1089293,375984
1089293,446774
1089293,403726
1089293,443024
1089293,99830
1089286,75035
1089286,255359
1089286,234860
1089286,78812
1089286,433795
1089286,304807
1089286,112492
1089286,485568
1089286,77093
1089286,217987
1089273,12456
1089273,151696
1089273,350014
1089273,25934
1089273,184298
1089273,590
1089273,131380
1089273,478220
1089273,496825
1089273,439100
1101173,9180
1101173,365669
1101173,16388
1101173,490054
1101173,290314
1101173,288546
1101173,126802
1101173,205919
1101173,253283
1101173,498471
1101172,213627
1101172,325588
1101172,253388
1101172,330546
1101172,360898
1101172,137172
1101172,395823
1101172,388228
1101172,183275
1101172,334300
1101171,419533
1101171,465724
1101171,26946
1101171,467629
1101171,311269
1101171,455646
1101171,294089
1101171,426109
1101171,408065
1101171,448069
1089177,337373
1089177,281881
1089177,171807
1089177,133751
1089177,148720
1089177,55957
1089177,73557
1089177,279315
1089177,290898
1089177,282320
1089167,444963
1089167,488119
1089167,204008
1089167,91826
1089167,328007
1089167,209708
1089167,453614
1089167,150481
1089167,375675
1089167,29394
1089158,97834
1089158,222044
1089158,68295
1089158,293315
1089158,110115
1089158,447108
1089158,290931
1089158,289643
1089158,454080
1089158,240628
1089156,382431
1089156,490702
1089156,155185
1089156,215250
1089156,207918
1089156,7735
1089156,371025
1089156,117282
1089156,466652
1089156,268063
1089143,459798
1089143,370241
1089143,320692
1089143,200784
1089143,93130
1089143,108745
1089143,232636
1089143,2144
1089143,406692
1089143,54204
1089121,295568
1089121,40203
1089121,144017
1089121,488159
1089121,56070
1089121,357716
1089121,407556
1089121,433553
1089121,186779
1089121,371396
1089093,222018
1089093,127232
1089093,257596
1089093,480660
1089093,389002
1089093,358713
1089093,241504
1089093,57164
1089093,414696
1089093,160938
1089085,408240
1089085,131285
1089085,130386
1089085,430821
1089085,501118
1089085,329467
1089085,310143
1089085,343035
1089085,316625
1089085,358832
1089071,476602
1089071,432658
1089071,429474
1089071,346632
1089071,362869
1089071,122086
1089071,60461
1089071,417115
1089071,29215
1089071,501419
1089051,188047
1089051,196710
1089051,459278
1089051,43090
1089051,407643
1089051,224422
1089051,369455
1089051,333460
1089051,483856
1089051,246213
1089044,113480
1089044,157679
1089044,451758
1089044,358525
1089044,135971
1089044,182756
1089044,211790
1089044,426364
1089044,231287
1089044,347010
1089043,192217
1089043,465598
1089043,418979
1089043,92221
1089043,353073
1089043,358238
1089043,140099
1089043,392567
1089043,154126
1089043,360003
1089036,297800
1089036,181282
1089036,336884
1089036,112130
1089036,194211
1089036,41251
1089036,489009
1089036,453006
1089036,405757
1089036,334086
1089027,268320
1089027,418303
1089027,127550
1089027,193846
1089027,487217
1089027,173199
1089027,201273
1089027,29130
1089027,389313
1089027,428373
1089026,81045
1089026,349291
1089026,289108
1089026,463986
1089026,293683
1089026,443872
1089026,431541
1089026,387369
1089026,221286
1089026,483363
1089022,105378
1089022,287897
1089022,455189
1089022,364968
1089022,228129
1089022,137056
1089022,352962
1089022,188773
1089022,473080
1089022,367450
1089021,423888
1089021,242646
1089021,487170
1089021,375172
1089021,139371
1089021,318267
1089021,38394
1089021,364771
1089021,438810
1089021,386001
1089002,262517
1089002,44604
1089002,143491
1089002,301367
1089002,176248
1089002,495834
1089002,364907
1089002,142808
1089002,240758
1089002,213387
1089001,423534
1089001,478855
1089001,112416
1089001,32966
1089001,106770
1089001,183010
1089001,38647
1089001,91517
1089001,318734
1089001,244880
1088993,204165
1088993,325011
1088993,212422
1088993,63000
1088993,251367
1088993,432925
1088993,327713
1088993,392582
1088993,352825
1088993,471707
1088987,364241
1088987,38459
1088987,37177
1088987,183959
1088987,220035
1088987,311264
1088987,413442
1088987,180845
1088987,55113
1088987,193337
1088973,13752
1088973,172109
1088973,54868
1088973,393134
1088973,251749
1088973,7515
1088973,461211
1088973,375424
1088973,490083
1088973,229050
1088960,131748
1088960,26909
1088960,174526
1088960,283413
1088960,432619
1088960,472796
1088960,331514
1088960,175537
1088960,313883
1088960,189531
1088958,369518
1088958,475693
1088958,74122
1088958,371784
1088958,183652
1088958,113754
1088958,156995
1088958,478717
1088958,94204
1088958,234376
1088947,77081
1088947,483498
1088947,317886
1088947,52220
1088947,340589
1088947,58603
1088947,396964
1088947,341729
1088947,350237
1088947,445997
1088938,101851
1088938,496462
1088938,39080
1088938,233960
1088938,501069
1088938,290028
1088938,418120
1088938,341729
1088938,360812
1088938,350237
1088928,456214
1088928,106973
1088928,73337
1088928,274084
1088928,335649
1088928,275290
1088928,62699
1088928,261442
1088928,106866
1088928,422725
1088903,424801
1088903,395003
1088903,359320
1088903,318448
1088903,88319
1088903,424690
1088903,252720
1088903,303606
1088903,355274
1088903,99817
1088889,283312
1088889,408516
1088889,367338
1088889,60317
1088889,37252
1088889,398081
1088889,331692
1088889,222063
1088889,353410
1088889,285571
1088884,280882
1088884,325844
1088884,179102
1088884,67073
1088884,85298
1088884,214882
1088884,78295
1088884,386128
1088884,295530
1088884,89387
1088869,264192
1088869,333471
1088869,11211
1088869,446128
1088869,351468
1088869,15254
1088869,403341
1088869,416506
1088869,9205
1088869,351786
1088856,127114
1088856,453417
1088856,76127
1088856,112132
1088856,372846
1088856,311176
1088856,238271
1088856,324007
1088856,464974
1088856,140614
1088845,63086
1088845,318498
1088845,343825
1088845,129972
1088845,428834
1088845,68592
1088845,336576
1088845,449655
1088845,292820
1088845,18913
1088832,421073
1088832,100821
1088832,491043
1088832,478733
1088832,13382
1088832,35875
1088832,92712
1088832,174186
1088832,101870
1088832,468238
1088800,351148
1088800,139428
1088800,79586
1088800,283107
1088800,383867
1088800,255519
1088800,237156
1088800,82385
1088800,363815
1088800,118987
1101131,182113
1101131,220189
1101131,22795
1101131,198751
1101131,304711
1101131,211577
1101131,159895
1101131,493796
1101131,81338
1101131,340815
1102300,125407
1102300,166223
1102300,141625
1102300,286470
1102300,201796
1102300,231504
1102300,177111
1102300,185717
1102300,32124
1102300,113115
1088758,484300
1088758,10245
1088758,295602
1088758,189701
1088758,323321
1088758,17784
1088758,251022
1088758,360157
1088758,481879
1088758,420275
1088734,241173
1088734,501131
1088734,132814
1088734,82732
1088734,168799
1088734,464205
1088734,188099
1088734,257760
1088734,166666
1088734,385642
1088718,245689
1088718,446183
1088718,322020
1088718,6524
1088718,325444
1088718,7069
1088718,110409
1088718,93442
1088718,3609
1088718,376057
1088693,1720
1088693,316527
1088693,277012
1088693,360617
1088693,140331
1088693,457079
1088693,238114
1088693,136517
1088693,483790
1088693,132454
1101121,297704
1101121,7431
1101121,3243
1101121,305041
1101121,380123
1101121,112452
1101121,342094
1101121,21218
1101121,353073
1101121,445277
1088685,245689
1088685,446183
1088685,322020
1088685,6524
1088685,325444
1088685,7069
1088685,110409
1088685,93442
1088685,3609
1088685,376057
1088628,353432
1088628,175621
1088628,203527
1088628,335788
1088628,8443
1088628,76727
1088628,199049
1088628,64859
1088628,122800
1088628,363405
1088606,443637
1088606,5752
1088606,84945
1088606,9106
1088606,324070
1088606,351857
1088606,316349
1088606,302178
1088606,76567
1088606,150756
1088541,485461
1088541,477608
1088541,261496
1088541,370673
1088541,351036
1088541,164719
1088541,496477
1088541,117329
1088541,236786
1088541,81957
1088539,24530
1088539,499825
1088539,424826
1088539,155305
1088539,76851
1088539,182661
1088539,153669
1088539,402242
1088539,70435
1088539,224604
1088475,41478
1088475,57529
1088475,294706
1088475,487657
1088475,461414
1088475,196301
1088475,315069
1088475,348901
1088475,89002
1088475,366549
1088453,276926
1088453,335368
1088453,302601
1088453,322411
1088453,454325
1088453,3277
1088453,68676
1088453,402739
1088453,361396
1088453,285832
1101090,78339
1101090,160473
1101090,372955
1101090,289899
1101090,145671
1101090,339461
1101090,98452
1101090,484586
1101090,355527
1101090,4390
1088437,302858
1088437,287077
1088437,321085
1088437,180976
1088437,99297
1088437,180151
1088437,266854
1088437,402288
1088437,272967
1088437,7818
1101088,323688
1101088,109805
1101088,57855
1101088,182661
1101088,126384
1101088,242886
1101088,444648
1101088,59431
1101088,152040
1101088,321395
1088379,104082
1088379,177074
1088379,377536
1088379,37529
1088379,206475
1088379,495338
1088379,189152
1088379,83069
1088379,37258
1088379,283475
1088358,6302
1088358,112770
1088358,61974
1088358,256681
1088358,459568
1088358,115542
1088358,54175
1088358,19346
1088358,130573
1088358,500893
1088349,208610
1088349,451601
1088349,2935
1088349,487286
1088349,487013
1088349,277619
1088349,40515
1088349,263373
1088349,131368
1088349,408856
1088302,248684
1088302,334084
1088302,13162
1088302,257806
1088302,420241
1088302,289457
1088302,171914
1088302,119197
1088302,442928
1088302,201039
1088164,114122
1088164,330114
1088164,348589
1088164,383658
1088164,332086
1088164,288773
1088164,483921
1088164,404883
1088164,53249
1088164,301583
1088153,334744
1088153,76057
1088153,224702
1088153,345664
1088153,85584
1088153,151766
1088153,248302
1088153,272472
1088153,49805
1088153,366122
1088138,270086
1088138,178875
1088138,310459
1088138,153669
1088138,323079
1088138,139852
1088138,479665
1088138,168093
1088138,464912
1088138,204954
1088043,180249
1088043,328431
1088043,73400
1088043,214321
1088043,288927
1088043,391037
1088043,356624
1088043,45496
1088043,133109
1088043,211407
1087999,478677
1087999,337219
1087999,222362
1087999,63677
1087999,41571
1087999,95053
1087999,400575
1087999,267832
1087999,451443
1087999,282290
1087959,190640
1087959,29984
1087959,355764
1087959,108573
1087959,501067
1087959,446736
1087959,231968
1087959,5067
1087959,371535
1087959,152690
1101048,253589
1101048,39518
1101048,96571
1101048,242802
1101048,74025
1101048,395540
1101048,147309
1101048,283728
1101048,384867
1101048,421697
1087915,61537
1087915,346584
1087915,334955
1087915,63816
1087915,369962
1087915,346723
1087915,205771
1087915,486339
1087915,296185
1087915,392438
1087911,176916
1087911,493729
1087911,194548
1087911,468732
1087911,265767
1087911,6910
1087911,219452
1087911,395761
1087911,292428
1087911,60498
1087869,424667
1087869,457020
1087869,452513
1087869,346726
1087869,13013
1087869,101838
1087869,1478
1087869,474659
1087869,61093
1087869,30470
1087858,233733
1087858,334507
1087858,280862
1087858,180732
1087858,14240
1087858,444823
1087858,211533
1087858,547
1087858,49157
1087858,137393
1087848,218061
1087848,207648
1087848,37529
1087848,439383
1087848,456931
1087848,36443
1087848,463440
1087848,239227
1087848,219452
1087848,268913
1087803,375402
1087803,242141
1087803,334344
1087803,338561
1087803,139175
1087803,267525
1087803,358728
1087803,156648
1087803,326554
1087803,15561
1087795,203136
1087795,459043
1087795,395735
1087795,52057
1087795,117643
1087795,39123
1087795,372527
1087795,118584
1087795,55357
1087795,321297
1087774,297127
1087774,13057
1087774,211384
1087774,430619
1087774,376023
1087774,71210
1087774,100117
1087774,200804
1087774,221538
1087774,302013
1087766,78224
1087766,395791
1087766,66262
1087766,62921
1087766,143914
1087766,296998
1087766,83208
1087766,495890
1087766,66018
1087766,97983
1087736,77675
1087736,458162
1087736,185261
1087736,377588
1087736,75747
1087736,5512
1087736,127161
1087736,297862
1087736,196751
1087736,482756
1087729,439990
1087729,192407
1087729,14331
1087729,242551
1087729,353053
1087729,349622
1087729,126970
1087729,10699
1087729,286340
1087729,482350
1087727,66346
1087727,470220
1087727,168196
1087727,215044
1087727,225316
1087727,357521
1087727,346654
1087727,463755
1087727,32075
1087727,22897
1087722,160539
1087722,252061
1087722,241966
1087722,154182
1087722,53444
1087722,334119
1087722,131121
1087722,403971
1087722,232459
1087722,382376
1087687,141349
1087687,335242
1087687,168414
1087687,153866
1087687,475257
1087687,74540
1087687,252749
1087687,220385
1087687,127010
1087687,397697
1087680,246983
1087680,462078
1087680,105363
1087680,382838
1087680,73738
1087680,399518
1087680,396652
1087680,265338
1087680,422111
1087680,245611
1087675,206141
1087675,358810
1087675,126521
1087675,465733
1087675,337680
1087675,12338
1087675,435804
1087675,250111
1087675,189044
1087675,321958
1087634,42905
1087634,436611
1087634,360776
1087634,170007
1087634,343952
1087634,313827
1087634,13273
1087634,425893
1087634,452092
1087634,276451
1101018,186577
1101018,339392
1101018,255952
1101018,247492
1101018,205061
1101018,378502
1101018,318826
1101018,174168
1101018,295076
1101018,312763
1087589,259322
1087589,185280
1087589,35468
1087589,333962
1087589,175672
1087589,34609
1087589,200101
1087589,56325
1087589,326288
1087589,186225
1087581,258927
1087581,111943
1087581,207648
1087581,328362
1087581,218061
1087581,428711
1087581,152077
1087581,79097
1087581,468536
1087581,120401
1087566,393660
1087566,37871
1087566,68570
1087566,107551
1087566,212534
1087566,382708
1087566,232757
1087566,392877
1087566,132202
1087566,281501
1087556,269762
1087556,203124
1087556,293284
1087556,119616
1087556,166006
1087556,157668
1087556,296473
1087556,228493
1087556,57887
1087556,422058
1087532,174810
1087532,63443
1087532,46375
1087532,153027
1087532,482165
1087532,35713
1087532,185182
1087532,290238
1087532,320685
1087532,421467
1087514,417729
1087514,253631
1087514,259356
1087514,181142
1087514,93317
1087514,62759
1087514,464822
1087514,405588
1087514,146053
1087514,242500
1087492,295858
1087492,277805
1087492,277303
1087492,31379
1087492,393343
1087492,309695
1087492,67617
1087492,215208
1087492,105861
1087492,171897
1087487,26450
1087487,25835
1087487,236004
1087487,200364
1087487,472026
1087487,41228
1087487,381098
1087487,181498
1087487,180465
1087487,225235
1087486,166919
1087486,193388
1087486,295228
1087486,222989
1087486,131553
1087486,44536
1087486,438988
1087486,248575
1087486,323525
1087486,497513
1087484,367346
1087484,132118
1087484,425591
1087484,88781
1087484,367953
1087484,87811
1087484,13802
1087484,117642
1087484,305214
1087484,248354
1087425,43945
1087425,181002
1087425,377296
1087425,107479
1087425,212690
1087425,394365
1087425,39742
1087425,381574
1087425,476564
1087425,297179
1087375,383109
1087375,230208
1087375,78652
1087375,83842
1087375,119324
1087375,140045
1087375,332859
1087375,490381
1087375,33674
1087375,153338
1087361,370129
1087361,85068
1087361,184100
1087361,198371
1087361,312348
1087361,146281
1087361,129801
1087361,493301
1087361,220446
1087361,390926
1087351,125363
1087351,385221
1087351,380729
1087351,39481
1087351,226393
1087351,263413
1087351,392429
1087351,77103
1087351,434669
1087351,103747
1087327,379945
1087327,387406
